"Robert Brook"	", 12906, 32149, 39874, 40143"
"Robert Dolan"	", 37220"
"Robert Merkel"	", 11026, 11616, 1164, 12401, 13048942, 13086761, 13287, 14274, 14737, 14790, 16824902, 18195, 18313, 18314, 18463, 18856, 18950865, 18973622, 18989, 19811, 20737, 21468482, 21504, 21939, 22085, 22086, 24864, 27927, 2858, 29090, 29186, 29507, 30863, 31471, 32035, 32786, 32876, 32978, 33841, 33964, 34130, 34558, 34760, 36776, 36908, 37085, 37125, 37126, 37152, 37153, 37161, 37224, 37316, 37448891, 37590, 37658, 37686, 37688, 37691, 37711, 38156, 38252, 38373, 38459, 38462, 38942, 39154, 39173, 39211, 39294, 39344, 39376, 39418, 39431, 39432, 39693, 39732, 39875, 40013, 40132, 40144, 40147, 40270, 40337, 40356, 40370, 40429, 40630, 41953, 42010, 42156, 4231, 42430, 42964, 47375, 5030553, 6884, 8286923, 856, 8565, 880"
"RobertBrook"	", 12906, 6883"
"RoseParks"	", 11152, 26383679, 36504, 37513, 38557"
"Ry Rivard"	", 5069516"
"Sabre23t"	", 37300, 38254, 6678, 7199"
"SadForLife"	", 39885, 39888"
"Saikat"	", 26685"
"Samth"	", 25778403"
"Saracarl"	", 1998, 22086, 30942, 36912, 37741, 37743, 37953, 53848"
"Scipius"	", 12466, 12657, 9317"
"Sdw"	", 26296173"
"Seb"	", 39098"
"Setok"	", 23247, 23939, 39880682, 8569916"
"Sfmontyo"	", 16458, 2112961, 26257672, 26257690, 42738, 42751, 42753, 42763, 42869, 42910"
"Shd~enwiki"	", 172959, 27084113, 32978, 40324, 40325, 40326, 40328, 40329, 40334, 41949, 42155, 42692"
"Shsilver"	", 1012, 10396793, 15155, 2196, 25414, 28176, 37397201, 39991, 40148, 40288, 40290, 40291, 40292, 40302, 40303, 40304, 40415, 40416, 40417, 40418, 40420, 40461, 40462, 40655, 41963, 42087, 42113, 42323, 53606, 6217, 6663"
