support abs,support,time,itemsets,rules
400, 0.017699115044247787,0.8267369270324707,12,2
300, 0.01327433628318584,0.972027063369751,29,12
200, 0.008849557522123894,1.8891189098358154,71,27
100, 0.004424778761061947,56.133837938308716,550,208
90 ,0.003982300884955752,110.32301473617554,773,299
80 ,0.0035398230088495575,193.25346183776855,1101,433
70 ,0.003097345132743363,446.506165266037,1645,661
60 ,0.002654867256637168,817.4538669586182,2591,1004
50 ,0.0022123893805309734,2214.435480117798,4558,1630
40 ,0.0017699115044247787,7053.58430814743,8862,2973
30 ,0.001327433628318584,22616.89337682724,20570,6282
